lat,lon,accuracy,f1_macro,f1_weighted,mcc,balanced_accuracy,n_samples,f1_class0,f1_class1,f1_class2,f1_class3,f1_class4
11.25,77.0,0.7916666666666666,0.53,0.7982638888888888,0.4991395731850873,0.5783783783783785,48,0.9166666666666666,0.4,0.0,0.6666666666666666,0.6666666666666666
11.25,77.25,0.7708333333333334,0.4353479853479853,0.7906936813186812,0.4488299330283112,0.5146396396396395,48,0.9166666666666666,0.3076923076923077,0.2857142857142857,0.0,0.6666666666666666
11.25,77.5,0.7083333333333334,0.4526610644257703,0.7793534080298786,0.41519994764497936,0.4902027027027027,48,0.8823529411764706,0.14285714285714285,0.5714285714285714,0.0,0.6666666666666666
11.25,77.75,0.6875,0.317979797979798,0.7329545454545455,0.4033618199339388,0.37009009009009003,48,0.8787878787878788,0.26666666666666666,0.4444444444444444,0.0,0.0
11.25,78.0,0.6666666666666666,0.202991452991453,0.7483529202279202,0.26010243550494205,0.25152439024390244,48,0.8611111111111112,0.15384615384615385,0.0,0.0,0.0
11.25,78.25,0.8125,0.592051282051282,0.8545726495726496,0.546098150748878,0.6448170731707317,48,0.9066666666666666,0.46153846153846156,0.0,1.0,0.0
11.25,78.5,0.8125,0.6277777777777778,0.866898148148148,0.405664559711252,0.8295454545454546,48,0.8888888888888888,0.25,0.0,1.0,1.0
11.25,78.75,0.8541666666666666,0.7000863060989644,0.8811732834675872,0.5649058319718284,0.8452380952380952,48,0.9367088607594937,0.36363636363636365,0.5,0.0,1.0
11.25,79.0,0.7916666666666666,0.5277777777777778,0.8495370370370369,0.3149905033740301,0.7171717171717171,48,0.8888888888888888,0.2222222222222222,0.0,0.0,1.0
11.25,79.25,0.8541666666666666,0.5928184281842819,0.8788956639566398,0.4704032639270193,0.6375968992248062,48,0.926829268292683,0.4444444444444444,0.0,0.0,1.0
11.25,79.5,0.8541666666666666,0.46765432098765436,0.8751543209876543,0.48781130891979124,0.6011904761904762,48,0.9382716049382716,0.4,0.0,0.0,1.0
11.25,79.75,0.875,0.6033333333333333,0.8993055555555555,0.6014238508267775,0.8511904761904762,48,0.95,0.4,0.6666666666666666,0.0,1.0
